Wave	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/wave/wave.jpg	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/wave/wave.mlmodel
Udnie	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/udnie/udnie.jpg	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/udnie/udnie.mlmodel
Tytus	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/tytus/tytus.png	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/tytus/tytus.mlmodel
The Shipwreck	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/the_shipwreck/the_shipwreck.jpg	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/the_shipwreck/the_shipwreck.mlmodel
The Scream	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/the_scream/the_scream.jpg	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/the_scream/the_scream.mlmodel
Terraces	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/terraces/terraces.jpg	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/terraces/terraces.mlmodel
Rain Princess	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/rain_princess/rain_princess.jpg	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/rain_princess/rain_princess.mlmodel
Lonely Afternoon	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/lonely_afternoon/lonely_afternoon.jpg	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/lonely_afternoon/lonely_afternoon.mlmodel
Lead	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/lead/lead.jpg	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/lead/lead.mlmodel
La Muse	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/la_muse/la_muse.jpg	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/la_muse/la_muse.mlmodel
Heaven	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/heaven/heaven.jpg	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/heaven/heaven.mlmodel
Sweet	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/boy_sweet/boy_sweet.jpg	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/boy_sweet/boy_sweet.mlmodel
Block	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/block/block.jpg	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/block/block.mlmodel
Among us	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/amongus/amongus.jpg	https://github.com/tungxuan1656/transfer-style-mlmodel/releases/download/amongus/amongus.mlmodel
